name,title,url,about
Wellbeing,,,
,Flowborne VR,https://www.meta.com/en-gb/experiences/4997438576996478/,"A meditative breathwork experience enhanced by biofeedback to cultivate a peaceful and serene breathing style. Created by psychologists, it seeks to help alleviate stress and promote deep relaxation. Embark on a soothing journey through enchanting worlds, release tension, and master the art of diaphragmatic breathing. Your very own breath powers the experience as the VR controller captures your abdomen movements. The virtual environment responds to your breathing in real time, guiding your focus and helping you perfect your breathing style. Each exhale translates into a floating movement, allowing for serene exploration within the virtual realm."
,Nature Treks VR,https://www.meta.com/en-gb/experiences/2616537008386430,"Explore tropical beaches, underwater oceans and even take to the stars. Discover over 20 different animals, command the weather, take control of the night or shape your own world with ‘orbs’, breathe with the meditation lotus. Immerse yourself into the Nature Treks VR experience and escape into a world of relaxation."
,Headspace XR,https://www.meta.com/en-gb/experiences/24496870869957102,"Discover a new world made for your mind. Headspace XR is a virtual playground where you can move, play, meditate, and explore with friends — all in breath taking immersive environments. Feel the real life benefits of mood-boosting games, one-on-one guided meditations with your favorite Headspace teachers, and strengthening your mind-body connection through movement. Drop in, take a deep breath, and make time for your best, most mindful self."
,Alcove,https://www.meta.com/en-gb/experiences/3895528293794893,"A portal to new worlds, a virtual home filled with endless experiences to discover and explore, a place to connect with loved ones. World travel, casual games, media customization, adventure, and relaxation. Invite your friends and family, and travel together to new places to see the world - hundreds of virtual travels to all continents: take a city tour, a hot air balloon ride, a back-country road trip."
,TRIPP,https://www.meta.com/en-gb/experiences/2173576192720129,"A Mind-Blowing Escape from Everyday Stress. A popular app which has been used in research supported by the NIH, NASA, and the New York Office of Mental Health. Embark on your journey to a more serene, connected, and balanced life. Hailed by Time Magazine, FastCompany, Forbes, GamesBeat, Men’s Health."
,Liminal,https://www.meta.com/en-gb/experiences/3158342884265828,"Relax. Unwind. Engage. Explore. 120+ experiences to change your mood. Relax, unwind, engage, explore. Liminal is a great way to chill out and have some fun!  Six categories of emotional and cognitive states."
,Cosmic Flow,https://www.meta.com/en-gb/experiences/cosmic-flow-a-relaxing-vr-experience/3872076276162726/,"A relaxing visual experience, an audio-visual massage for the mind, a kaleidoscopic meditation. Developed by an artist as a first part of a series of VR experiences encouraging connection and personal expression. A relaxed mind is better able to understand and express itself. Cosmic Flow hopes to instill this feeling of relaxation so that, when the headset comes off, the feeling continues."
,,,
Creativity,,,
